title,author,price,price (including used books),pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link,complete_link
Exploratory Data Analysis (Classic Version) (Pearson Modern Classic),[ John Tukey],105.99, 85.57 - 105.99 ,720,4.9,10,94%,6%,,,,6.55 x 1.7 x 9.3 inches,2.4 pounds,English,"Pearson; 1st edition (April 18, 2019)",978-0134995458,/Exploratory-Data-Analysis-Classic-Version/dp/0134995457/ref=sr_1_101?keywords=data+analysis&qid=1671164651&sr=8-101,https://www.amazon.com/Exploratory-Data-Analysis-Classic-Version/dp/0134995457/ref=sr_1_101?keywords=data+analysis&qid=1671164651&sr=8-101
Kafka: The Definitive Guide: Real-Time Data and Stream Processing at Scale,"[ Gwen Shapira, Todd Palino, et al.]",31.99,31.99,488,4.8,100,81%,16%,3%,,,7 x 1 x 9 inches,1.7 pounds,English,"O'Reilly Media; 2nd edition (November 30, 2021)", ,/Kafka-Definitive-Real-Time-Stream-Processing/dp/1492043087/ref=sr_1_100?keywords=data+analysis&qid=1671164651&sr=8-100,https://www.amazon.com/Kafka-Definitive-Real-Time-Stream-Processing/dp/1492043087/ref=sr_1_100?keywords=data+analysis&qid=1671164651&sr=8-100
An Introduction to Statistics and Data Analysis Using Stata: From Research Design to Final Report,"[ Lisa Daniels,  and , Nicholas W. Minot]",75.24, 24.50 - 75.24 ,392,4.6,32,69%,22%,9%,,,7.38 x 0.89 x 9.13 inches,1.52 pounds,English,"SAGE Publications, Inc; 1st edition (January 29, 2019)",978-1506371832,/Introduction-Statistics-Analysis-Using-Stata%C2%AE/dp/1506371833/ref=sr_1_98?keywords=data+analysis&qid=1671164651&sr=8-98,https://www.amazon.com/Introduction-Statistics-Analysis-Using-Stata%C2%AE/dp/1506371833/ref=sr_1_98?keywords=data+analysis&qid=1671164651&sr=8-98
"Microsoft 365 Excel: The Only App That Matters: Calculations, Analytics, Modeling, Data Analysis and Dashboard Reporting for the New Era of Dynamic Data Driven Decision Making & Insight",[ Mike Girvin],34.95,34.95,824,5,63,100%,,,,,8 x 1.86 x 10.75 inches,3.95 pounds,English,"Holy Macro! Books (August 1, 2022)",978-1615470709,/Microsoft-365-Excel-Calculations-Analytics/dp/1615470700/ref=sr_1_96?keywords=data+analysis&qid=1671164651&sr=8-96,https://www.amazon.com/Microsoft-365-Excel-Calculations-Analytics/dp/1615470700/ref=sr_1_96?keywords=data+analysis&qid=1671164651&sr=8-96
Naked Statistics: Stripping the Dread from the Data,,1.69, 8.99 - 11.69 ,304,4.6,"2,362",72%,19%,6%,2%,1%,5.5 x 0.8 x 8.2 inches,7.1 ounces,English,"W. W. Norton & Company; 1st edition (January 13, 2014)",978-0393347777,/Naked-Statistics-Stripping-Dread-Data/dp/039334777X/ref=sr_1_99?keywords=data+analysis&qid=1671164651&sr=8-99,https://www.amazon.com/Naked-Statistics-Stripping-Dread-Data/dp/039334777X/ref=sr_1_99?keywords=data+analysis&qid=1671164651&sr=8-99
"Machine Learning: 4 Books in 1: The #1 Beginner's Guide to Master the Basics of Python Programming, Learn the Art of Data Science and Build Artificial Intelligence","[ Andrew Park,  and , Russell Newton]",,,,4.7,290,83%,10%,3%,1%,3%,,,,,,/Data-Science-Beginners-Programming-Learning/dp/B0869Q3Z3H/ref=sr_1_94?keywords=data+analysis&qid=1671164651&sr=8-94,https://www.amazon.com/Data-Science-Beginners-Programming-Learning/dp/B0869Q3Z3H/ref=sr_1_94?keywords=data+analysis&qid=1671164651&sr=8-94
Software Architecture: The Hard Parts: Modern Trade-Off Analyses for Distributed Architectures,"[ Neal Ford, Mark Richards, et al.]",30.99,30.99,459,4.6,232,76%,14%,5%,2%,2%,7 x 0.75 x 9.25 inches,1.65 pounds,English,"O'Reilly Media; 1st edition (November 30, 2021)", ,/Software-Architecture-Trade-Off-Distributed-Architectures/dp/1492086894/ref=sr_1_95?keywords=data+analysis&qid=1671164651&sr=8-95,https://www.amazon.com/Software-Architecture-Trade-Off-Distributed-Architectures/dp/1492086894/ref=sr_1_95?keywords=data+analysis&qid=1671164651&sr=8-95
Analyzing Social Networks Using R,"[ Stephen P. Borgatti, Martin G. Everett, et al.]",52.21, 51.45 - 52.21 ,384,5,1,100%,,,,,6.69 x 0.79 x 9.61 inches,1.46 pounds,English,"SAGE Publications Ltd; 1st edition (July 20, 2022)",978-1529722475,/Analyzing-Social-Networks-Using-R/dp/1529722470/ref=sr_1_97?keywords=data+analysis&qid=1671164651&sr=8-97,https://www.amazon.com/Analyzing-Social-Networks-Using-R/dp/1529722470/ref=sr_1_97?keywords=data+analysis&qid=1671164651&sr=8-97
"SQL: 3 books 1 - The Ultimate Beginner, Intermediate & Expert Guides To Master SQL Programming Quickly with Practical Exercises",[ Mark Reed],22.58, 19.99 - 22.58 ,346,4.6,281,77%,13%,5%,3%,2%,7 x 0.78 x 10 inches,1.46 pounds,you will discover all you need ,"Independently published (July 10, 2022)",979-8840191583,/SQL-Intermediate-Programming-Practical-Exercises/dp/B0B5MM3RMK/ref=sr_1_93?keywords=data+analysis&qid=1671164651&sr=8-93,https://www.amazon.com/SQL-Intermediate-Programming-Practical-Exercises/dp/B0B5MM3RMK/ref=sr_1_93?keywords=data+analysis&qid=1671164651&sr=8-93
Excel Pivot Tables: Basic Beginners Guide to Learn Excel Pivot Tables for Data Analysis and Modeling,"[ MG Martin, Peter Prova, et al.]",,,,4,58,53%,23%,8%,16%,,,,,,,/Excel-Pivot-Tables-Beginners-Analysis/dp/B07VGL7S7V/ref=sr_1_92?keywords=data+analysis&qid=1671164651&sr=8-92,https://www.amazon.com/Excel-Pivot-Tables-Beginners-Analysis/dp/B07VGL7S7V/ref=sr_1_92?keywords=data+analysis&qid=1671164651&sr=8-92
"Data Analysis with Python: Introducing NumPy, Pandas, Matplotlib, and Essential Elements of Python Programming (English Edition)",[ Rituraj Dixit],29.95,29.95,276,3,2,50%,50%,,,,7.5 x 0.63 x 9.25 inches,1.06 pounds,English,"BPB Publications (August 20, 2022)",978-9355510655,/Data-Analysis-Python-Introducing-Programming/dp/9355510659/ref=sr_1_91?keywords=data+analysis&qid=1671164651&sr=8-91,https://www.amazon.com/Data-Analysis-Python-Introducing-Programming/dp/9355510659/ref=sr_1_91?keywords=data+analysis&qid=1671164651&sr=8-91
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud","[ Paul Deitel,  and , Harvey Deitel]",97.99, 91.00 - 97.99 ,880,4.7,297,82%,10%,2%,3%,2%,7 x 1.45 x 9.1 inches,2.83 pounds,English,"Pearson; 1st edition (February 15, 2019)",978-0135404676,/Intro-Python-Computer-Science-Data/dp/0135404673/ref=sr_1_90?keywords=data+analysis&qid=1671164651&sr=8-90,https://www.amazon.com/Intro-Python-Computer-Science-Data/dp/0135404673/ref=sr_1_90?keywords=data+analysis&qid=1671164651&sr=8-90
"Hands-On Data Analysis with Pandas: Efficiently perform data collection, wrangling, analysis, and visualization using Python",[ Stefanie Molin],21.09,21.09,716,4.5,60,76%,11%,3%,3%,7%,,,English,"Packt Publishing; 1st edition (July 26, 2019)",,/Hands-Data-Analysis-Pandas-visualization-ebook/dp/B07KJQN1CC/ref=sr_1_87?keywords=data+analysis&qid=1671164651&sr=8-87,https://www.amazon.com/Hands-Data-Analysis-Pandas-visualization-ebook/dp/B07KJQN1CC/ref=sr_1_87?keywords=data+analysis&qid=1671164651&sr=8-87
Thematic Analysis: A Practical Guide,"[ Virginia Braun,  and , Victoria Clarke]",48.99,48.99,376,4.9,229,90%,7%,2%,1%,,6.75 x 1 x 9.25 inches,1.41 pounds,English,"SAGE Publications Ltd; 1st edition (December 15, 2021)",978-1473953246,/Thematic-Analysis-Practical-Virginia-Braun/dp/1473953243/ref=sr_1_89?keywords=data+analysis&qid=1671164651&sr=8-89,https://www.amazon.com/Thematic-Analysis-Practical-Virginia-Braun/dp/1473953243/ref=sr_1_89?keywords=data+analysis&qid=1671164651&sr=8-89
Statistics and Data Analysis for Financial Engineering: with R examples (Springer Texts in Statistics),,71.91, 34.35 - 71.91 ,745,4.3,42,70%,12%,6%,7%,6%,6.14 x 1.56 x 9.21 inches,30.2 pounds,English,"Springer; 2nd ed. 2015 edition (April 22, 2015)",978-1493926138,/Statistics-Data-Analysis-Financial-Engineering/dp/1493926136/ref=sr_1_88?keywords=data+analysis&qid=1671164651&sr=8-88,https://www.amazon.com/Statistics-Data-Analysis-Financial-Engineering/dp/1493926136/ref=sr_1_88?keywords=data+analysis&qid=1671164651&sr=8-88
"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners",[ Al Sweigart],26.49,26.49,592,4.7,"2,672",82%,12%,3%,1%,1%,7 x 1.31 x 9.31 inches,3.53 ounces,English,"No Starch Press; 2nd edition (November 12, 2019)",-34%,/Automate-Boring-Stuff-Python-2nd/dp/1593279922/ref=sr_1_86?keywords=data+analysis&qid=1671164651&sr=8-86,https://www.amazon.com/Automate-Boring-Stuff-Python-2nd/dp/1593279922/ref=sr_1_86?keywords=data+analysis&qid=1671164651&sr=8-86
Data Structures and Algorithm Analysis in Java: International Edition,[ Mark Allen Weiss],69,69,640,4.4,101,73%,12%,5%,5%,5%,7.4 x 1.43 x 9.13 inches,1.85 pounds,English,"Pearson Education; International ed of 3rd revised ed edition (January 1, 2012)", ,/Structures-Algorithm-Analysis-Java-Allen/dp/0273752111/ref=sr_1_85?keywords=data+analysis&qid=1671164651&sr=8-85,https://www.amazon.com/Structures-Algorithm-Analysis-Java-Allen/dp/0273752111/ref=sr_1_85?keywords=data+analysis&qid=1671164651&sr=8-85
Business Analysis For Dummies,"[ Kupe Kupersmith, Paul Mulvey, et al.]",18.39,18.39,384,4.4,527,70%,14%,10%,3%,3%,7.2 x 1 x 9 inches,1.51 pounds,English,"For Dummies; 1st edition (July 22, 2013)", ,/Business-Analysis-Dummies-Kupe-Kupersmith/dp/1118510585/ref=sr_1_156?keywords=data+analysis&qid=1671164661&sr=8-156,https://www.amazon.com/Business-Analysis-Dummies-Kupe-Kupersmith/dp/1118510585/ref=sr_1_156?keywords=data+analysis&qid=1671164661&sr=8-156
"Machine Learning Explained The Simple Way: A Beginners Guide to Learning Python for Data Science, Machine Learning and Ace your Data Science Interview With little Coding Experience.",[ Santos Ozoemena],11.97,11.97,216,5,21,100%,,,,,6.69 x 0.49 x 9.61 inches,1 pounds,English,"Independently published (October 31, 2022)",979-8803622086,/Machine-Learning-Explained-Simple-Way/dp/B0BLBBNTV4/ref=sr_1_155?keywords=data+analysis&qid=1671164661&sr=8-155,https://www.amazon.com/Machine-Learning-Explained-Simple-Way/dp/B0BLBBNTV4/ref=sr_1_155?keywords=data+analysis&qid=1671164661&sr=8-155
CompTIA Data+ Study Guide: Exam DA0-001,"[ Mike Chapple,  and , Sharif Nijim]",34.49,34.49,368,4.6,44,77%,12%,8%,3%,,7.38 x 0.83 x 9.25 inches,1.35 pounds,English,"Sybex; 1st edition (March 25, 2022)",978-1119845256,/CompTIA-Data-Study-Guide-DA0-001/dp/1119845254/ref=sr_1_154?keywords=data+analysis&qid=1671164661&sr=8-154,https://www.amazon.com/CompTIA-Data-Study-Guide-DA0-001/dp/1119845254/ref=sr_1_154?keywords=data+analysis&qid=1671164661&sr=8-154
RNA Sequencing: Principles and Data Analysis,[ Lara Ozkan],25, 15.99 - 25.00 ,118,4.4,23,60%,27%,7%,6%,,5 x 0.28 x 8 inches,4.6 ounces,English,"Independently published (May 1, 2020)",979-8680736388,/RNA-Sequencing-Principles-Data-Analysis/dp/B08HTM7TGX/ref=sr_1_153?keywords=data+analysis&qid=1671164661&sr=8-153,https://www.amazon.com/RNA-Sequencing-Principles-Data-Analysis/dp/B08HTM7TGX/ref=sr_1_153?keywords=data+analysis&qid=1671164661&sr=8-153
Analysis of Panel Data (Econometric Society Monographs),[ Cheng Hsiao],45.98, 23.01 - 45.98 ,500,,,,,,,,6.5 x 1.25 x 9.25 inches,2.01 pounds,English,"Cambridge University Press; 4th edition (July 7, 2022)",978-1009060752,/Analysis-Panel-Econometric-Society-Monographs/dp/1009060759/ref=sr_1_150?keywords=data+analysis&qid=1671164661&sr=8-150,https://www.amazon.com/Analysis-Panel-Econometric-Society-Monographs/dp/1009060759/ref=sr_1_150?keywords=data+analysis&qid=1671164661&sr=8-150
R For Dummies,"[ Andrie de Vries,  and , Joris Meys]",17.99, 11.36 - 17.99 ,432,4.4,493,66%,22%,8%,2%,3%,7.4 x 1.1 x 9.1 inches,1.66 pounds,English,"For Dummies; 2nd edition (July 7, 2015)", ,/R-Dummies-Andrie-Vries/dp/1119055806/ref=sr_1_152?keywords=data+analysis&qid=1671164661&sr=8-152,https://www.amazon.com/R-Dummies-Andrie-Vries/dp/1119055806/ref=sr_1_152?keywords=data+analysis&qid=1671164661&sr=8-152
Excel Dashboards & Reports For Dummies (For Dummies (Computer/Tech)),[ Michael Alexander],28.49, 28.21 - 28.49 ,384,4.4,10,86%,14%,,,,7.38 x 0.87 x 9.25 inches,1.1 pounds,English,"For Dummies; 4th edition (March 18, 2022)",978-1119844396,/Excel-Dashboards-Reports-Dummies-Computer/dp/1119844398/ref=sr_1_151?keywords=data+analysis&qid=1671164661&sr=8-151,https://www.amazon.com/Excel-Dashboards-Reports-Dummies-Computer/dp/1119844398/ref=sr_1_151?keywords=data+analysis&qid=1671164661&sr=8-151
"Spectrum Grades 6-8 Data Analysis & Probability Workbook—6th-8th Grade State Standards for Calculating Statistics, Probabilities, and Graph Data for Homeschool or Classroom (128 pgs)",,25,25,128,4.6,142,76%,13%,6%,2%,3%,8.38 x 0.31 x 10.88 inches,9.9 ounces,English,"Spectrum; Workbook edition (February 25, 2015)",978-1483816630,/Probability-Workbook-6th-8th-Calculating-Statistics-Probabilities/dp/148381663X/ref=sr_1_149?keywords=data+analysis&qid=1671164661&sr=8-149,https://www.amazon.com/Probability-Workbook-6th-8th-Calculating-Statistics-Probabilities/dp/148381663X/ref=sr_1_149?keywords=data+analysis&qid=1671164661&sr=8-149
Decisions Over Decimals: Striking the Balance between Intuition and Information,"[ Paul F. Magnone, Christopher J. Frank, et al.]",31.3, 30.99 - 31.30 ,256,4.9,28,95%,5%,,,,6.2 x 1.1 x 9.1 inches,1 pounds,English,"Wiley; 1st edition (October 4, 2022)",978-1119898481,/Decisions-Over-Decimals-Intuition-Information/dp/111989848X/ref=sr_1_148?keywords=data+analysis&qid=1671164661&sr=8-148,https://www.amazon.com/Decisions-Over-Decimals-Intuition-Information/dp/111989848X/ref=sr_1_148?keywords=data+analysis&qid=1671164661&sr=8-148
Excel 2023: The Ultimate Guide For Beginners To Become An Excel Master To Organize And Boost Your Productivity| Learn in Less Than 10 Minutes per Day With Step-by-step Pictures Tutorials,[ Arthur Fletcher],12.99,12.99,129,4.7,187,76%,20%,1%,2%,1%,6 x 0.3 x 9 inches,9 ounces,English,"Independently published (November 14, 2022)",979-8363702990,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0250567IU3R3YXU9TSI&qualifier=1671164651&id=8356854621227402&widgetName=sp_mtf&url=%2FExcel-2023-Productivity-Step-step%2Fdp%2FB0BM3TTQHD%2Fref%3Dsr_1_84_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164651%26sr%3D8-84-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0250567IU3R3YXU9TSI&qualifier=1671164651&id=8356854621227402&widgetName=sp_mtf&url=%2FExcel-2023-Productivity-Step-step%2Fdp%2FB0BM3TTQHD%2Fref%3Dsr_1_84_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164651%26sr%3D8-84-spons%26psc%3D1
Multilevel and Longitudinal Modeling with IBM SPSS (Quantitative Methodology Series),"[ Ronald H. Heck, Scott L. Thomas, et al.]",56.95, 54.24 - 56.95 ,484,,,,,,,,8.27 x 1.12 x 11.02 inches,2.01 pounds,English,"Routledge; 3rd edition (April 12, 2022)",978-0367424619,/Multilevel-Longitudinal-Modeling-Quantitative-Methodology/dp/0367424614/ref=sr_1_147?keywords=data+analysis&qid=1671164661&sr=8-147,https://www.amazon.com/Multilevel-Longitudinal-Modeling-Quantitative-Methodology/dp/0367424614/ref=sr_1_147?keywords=data+analysis&qid=1671164661&sr=8-147
Talent Intelligence: Use Business and People Data to Drive Organizational Performance,[ Toby Culshaw],41.99,41.99,256,5,4,100%,,,,,6.25 x 0.75 x 9.25 inches,14.1 ounces,English,"Kogan Page; 1st edition (October 25, 2022)",978-1398607231,/Talent-Intelligence-Business-Organizational-Performance/dp/1398607231/ref=sr_1_146?keywords=data+analysis&qid=1671164661&sr=8-146,https://www.amazon.com/Talent-Intelligence-Business-Organizational-Performance/dp/1398607231/ref=sr_1_146?keywords=data+analysis&qid=1671164661&sr=8-146
Time Series: A Data Analysis Approach Using R (Chapman & Hall/CRC Texts in Statistical Science),,57.34, 23.65 - 57.34 ,271,4.1,16,58%,20%,9%,14%,,,,English,"Chapman and Hall/CRC; 1st edition (May 17, 2019)",,/Time-Analysis-Approach-Chapman-Statistical-ebook/dp/B07S1CN793/ref=sr_1_144?keywords=data+analysis&qid=1671164661&sr=8-144,https://www.amazon.com/Time-Analysis-Approach-Chapman-Statistical-ebook/dp/B07S1CN793/ref=sr_1_144?keywords=data+analysis&qid=1671164661&sr=8-144
Fundamentals of Music Processing: Using Python and Jupyter Notebooks,[ Meinard Müller],77.07,77.07,526,5,3,100%,,,,,7.8 x 1.1 x 9.4 inches,2.42 pounds,English,"Springer; 2nd ed. 2021 edition (April 10, 2021)",978-3030698072,/Fundamentals-Music-Processing-Jupyter-Notebooks/dp/3030698076/ref=sr_1_143?keywords=data+analysis&qid=1671164661&sr=8-143,https://www.amazon.com/Fundamentals-Music-Processing-Jupyter-Notebooks/dp/3030698076/ref=sr_1_143?keywords=data+analysis&qid=1671164661&sr=8-143
Statistics for the Trading Floor: Data Science for Investing (For The Trading Floor Series),,27.99,27.99,306,4.3,72,67%,15%,4%,6%,8%,6.69 x 0.69 x 9.61 inches,1.09 pounds,English,"Independently published (May 14, 2020)",979-8644826551,/Statistics-Trading-Floor-Science-Investing/dp/B088N8X379/ref=sr_1_142?keywords=data+analysis&qid=1671164661&sr=8-142,https://www.amazon.com/Statistics-Trading-Floor-Science-Investing/dp/B088N8X379/ref=sr_1_142?keywords=data+analysis&qid=1671164661&sr=8-142
The Model Thinker: What You Need to Know to Make Data Work for You,"[ Scott E. Page, Jamie Renell, et al.]",,,,4.5,463,68%,20%,6%,3%,2%,,,,,,/Model-Thinker-What-Need-Know/dp/B08WHN4M7S/ref=sr_1_145?keywords=data+analysis&qid=1671164661&sr=8-145,https://www.amazon.com/Model-Thinker-What-Need-Know/dp/B08WHN4M7S/ref=sr_1_145?keywords=data+analysis&qid=1671164661&sr=8-145
Data Science Foundations Tools and Techniques (Addison-Wesley Data & Analytics Series),,28.99,28.99,384,4.4,57,67%,22%,6%,6%,,,,English,"Addison-Wesley Professional; 1st edition (November 23, 2018)",,/Programming-Skills-Data-Science-Addison-Wesley-ebook/dp/B07KMDCHT2/ref=sr_1_138?keywords=data+analysis&qid=1671164661&sr=8-138,https://www.amazon.com/Programming-Skills-Data-Science-Addison-Wesley-ebook/dp/B07KMDCHT2/ref=sr_1_138?keywords=data+analysis&qid=1671164661&sr=8-138
An Introduction to Categorical Data Analysis,[ Alan Agresti],121.99, 28.97 - 121.99 ,400,4.4,54,69%,13%,11%,3%,5%,6.4 x 1 x 9.3 inches,1.52 pounds,English,"Wiley-Interscience; 2nd edition (March 23, 2007)",     ,/Introduction-Categorical-Data-Analysis/dp/0471226181/ref=sr_1_139?keywords=data+analysis&qid=1671164661&sr=8-139,https://www.amazon.com/Introduction-Categorical-Data-Analysis/dp/0471226181/ref=sr_1_139?keywords=data+analysis&qid=1671164661&sr=8-139
Data-Driven Organization Design: Delivering Perpetual Performance Gains Through the Organizational System,[ Rupert Morrison],48.17, 46.95 - 48.17 ,440,5,4,100%,,,,,6.1 x 0.98 x 9.25 inches,1.63 pounds,English,"Kogan Page; 2nd edition (October 26, 2021)", ,/Data-Driven-Organization-Design-Performance-Organizational/dp/1398603260/ref=sr_1_137?keywords=data+analysis&qid=1671164661&sr=8-137,https://www.amazon.com/Data-Driven-Organization-Design-Performance-Organizational/dp/1398603260/ref=sr_1_137?keywords=data+analysis&qid=1671164661&sr=8-137
"Python for Data Science: A Crash Course for Data Science and Analysis, Python Machine Learning and Big Data",[ Computer Science Academy],,,147,4.2,16,52%,21%,27%,,,,,English,,,/Python-Data-Science-Analysis-Learning-ebook/dp/B082TRL2RL/ref=sr_1_134?keywords=data+analysis&qid=1671164661&sr=8-134,https://www.amazon.com/Python-Data-Science-Analysis-Learning-ebook/dp/B082TRL2RL/ref=sr_1_134?keywords=data+analysis&qid=1671164661&sr=8-134
Supervised Machine Learning for Text Analysis in R (Chapman & Hall/CRC Data Science Series),,43.52,43.52,402,4.5,12,69%,19%,12%,,,6.14 x 0.91 x 9.21 inches,1.64 pounds,English,"Chapman and Hall/CRC; 1st edition (October 22, 2021)", ,/Supervised-Machine-Learning-Analysis-Chapman/dp/0367554194/ref=sr_1_136?keywords=data+analysis&qid=1671164661&sr=8-136,https://www.amazon.com/Supervised-Machine-Learning-Analysis-Chapman/dp/0367554194/ref=sr_1_136?keywords=data+analysis&qid=1671164661&sr=8-136
Statistical Analysis with Excel For Dummies (For Dummies (Computer/Tech)),[ Joseph Schmuller],22.49,22.49,576,4,19,50%,21%,16%,12%,,7.38 x 1.3 x 9.25 inches,1.6 pounds,English,"For Dummies; 5th edition (December 30, 2021)", ,/Statistical-Analysis-Excel-Dummies-Computer/dp/1119844541/ref=sr_1_135?keywords=data+analysis&qid=1671164661&sr=8-135,https://www.amazon.com/Statistical-Analysis-Excel-Dummies-Computer/dp/1119844541/ref=sr_1_135?keywords=data+analysis&qid=1671164661&sr=8-135
Think Stats: Exploratory Data Analysis,[ Allen B. Downey],25.49,25.49,226,4.2,137,65%,15%,7%,6%,7%,7 x 0.51 x 9.19 inches,14.1 ounces,English,"O'Reilly Media; 2nd edition (November 11, 2014)",978-1491907337,/Think-Stats-Exploratory-Data-Analysis/dp/1491907339/ref=sr_1_133?keywords=data+analysis&qid=1671164661&sr=8-133,https://www.amazon.com/Think-Stats-Exploratory-Data-Analysis/dp/1491907339/ref=sr_1_133?keywords=data+analysis&qid=1671164661&sr=8-133
Data for All,[ John K. Thompson],49.99,49.99,230,,,,,,,,7.38 x 0.69 x 9.25 inches,11.5 ounces,English,"Manning (February 28, 2023)",978-1633438774,/Data-All-John-K-Thompson/dp/1633438775/ref=sr_1_204?keywords=data+analysis&qid=1671164670&sr=8-204,https://www.amazon.com/Data-All-John-K-Thompson/dp/1633438775/ref=sr_1_204?keywords=data+analysis&qid=1671164670&sr=8-204
An Introduction to R: Data Analysis and Visualization (Research Skills),[ Mark Gardener],37.99,37.99,384,,,,,,,,,,English,"Pelagic Publishing (May 5, 2023)",,/Introduction-Analysis-Visualization-Research-Skills-ebook/dp/B0BMQWGVY1/ref=sr_1_201?keywords=data+analysis&qid=1671164670&sr=8-201,https://www.amazon.com/Introduction-Analysis-Visualization-Research-Skills-ebook/dp/B0BMQWGVY1/ref=sr_1_201?keywords=data+analysis&qid=1671164670&sr=8-201
"Python: 3 books in 1- Your complete guide to python programming with Python for Beginners, Python Data Analysis and Python Machine Learning (Programming Languages for Beginners)",,24.95,24.95,472,4.6,108,79%,10%,7%,2%,1%,6 x 1.07 x 9 inches,1.63 pounds,English,"Independently published (February 4, 2022)", ,/Python-programming-Beginners-Programming-Languages/dp/B09RLRHNGS/ref=sr_1_203?keywords=data+analysis&qid=1671164670&sr=8-203,https://www.amazon.com/Python-programming-Beginners-Programming-Languages/dp/B09RLRHNGS/ref=sr_1_203?keywords=data+analysis&qid=1671164670&sr=8-203
"Statistical Analysis of fMRI Data, second edition (The MIT Press)",[ F. Gregory Ashby],59.36, 41.24 - 59.36 ,568,5,2,100%,,,,,7.31 x 1.21 x 9.31 inches,2.15 pounds,English,"The MIT Press; second edition (September 17, 2019)",978-0262042680,/Statistical-Analysis-fMRI-Data-Press/dp/0262042681/ref=sr_1_200?keywords=data+analysis&qid=1671164670&sr=8-200,https://www.amazon.com/Statistical-Analysis-fMRI-Data-Press/dp/0262042681/ref=sr_1_200?keywords=data+analysis&qid=1671164670&sr=8-200
Time Series for Data Science: Analysis and Forecasting (Chapman & Hall/CRC Texts in Statistical Science),,96,96,506,5,3,100%,,,,,,,English,"Chapman and Hall/CRC; 1st edition (August 1, 2022)",,/Time-Data-Science-Forecasting-Statistical-ebook/dp/B0B69TN4BH/ref=sr_1_202?keywords=data+analysis&qid=1671164670&sr=8-202,https://www.amazon.com/Time-Data-Science-Forecasting-Statistical-ebook/dp/B0B69TN4BH/ref=sr_1_202?keywords=data+analysis&qid=1671164670&sr=8-202
Categorical Data Analysis (Wiley Series in Probability and Statistics),[ Alan Agresti],31.3,31.3,734,4.4,24,61%,24%,12%,3%,,6.5 x 1.5 x 9.5 inches,2.48 pounds,English,"Wiley-Interscience; 2nd edition (July 22, 2002)",Usually ships within 2 to 3 days.,/Categorical-Analysis-Wiley-Probability-Statistics/dp/0471360937/ref=sr_1_198?keywords=data+analysis&qid=1671164670&sr=8-198,https://www.amazon.com/Categorical-Analysis-Wiley-Probability-Statistics/dp/0471360937/ref=sr_1_198?keywords=data+analysis&qid=1671164670&sr=8-198
"Microsoft Office 365 For Beginners: The 1# Crash Course From Beginners To Advanced. Easy Way to Master The Whole Suite in no Time | Excel, Word, PowerPoint, OneNote, OneDrive, Outlook, Teams & Access",[ Leonard J. Ledger],18.97,18.97,131,5,442,97%,3%,,,,8.5 x 0.3 x 11 inches,14.4 ounces,English,"Independently published (September 26, 2022)",979-8354840113,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A095594414G465SGQ2KVK&qualifier=1671164661&id=8763482864697680&widgetName=sp_mtf&url=%2FMicrosoft-Office-365-Beginners-PowerPoint%2Fdp%2FB0BGSNXP88%2Fref%3Dsr_1_131_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164661%26sr%3D8-131-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A095594414G465SGQ2KVK&qualifier=1671164661&id=8763482864697680&widgetName=sp_mtf&url=%2FMicrosoft-Office-365-Beginners-PowerPoint%2Fdp%2FB0BGSNXP88%2Fref%3Dsr_1_131_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164661%26sr%3D8-131-spons%26psc%3D1
